Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10
"Text 1,1",123,2023-08-01,"Text 1,2",456,2023-09-01,"Text 1,3",2,2023-10-01,Text 14
"Text 2,1",246,2023-08-02,"Text 2,2",912,2023-09-02,"Text 2,3",4,2023-10-02,Text 24
"Text 3,1",369,2023-08-03,"Text 3,2",1368,2023-09-03,"Text 3,3",8,2023-10-03,Text 34
"Text 4,1",492,2023-08-04,"Text 4,2",1824,2023-09-04,"Text 4,3",16,2023-10-04,Text 44
"Text 5,1",615,2023-08-05,"Text 5,2",2280,2023-09-05,"Text 5,3",32,2023-10-05,Text 54
"Text 6,1",738,2023-08-06,"Text 6,2",2736,2023-09-06,"Text 6,3",64,2023-10-06,Text 64
"Text 7,1",861,2023-08-07,"Text 7,2",3192,2023-09-07,"Text 7,3",128,2023-10-07,Text 74
"Text 8,1",984,2023-08-08,"Text 8,2",3648,2023-09-08,"Text 8,3",256,2023-10-08,Text 84
"Text 9,1",1107,2023-08-09,"Text 9,2",4104,2023-09-09,"Text 9,3",512,2023-10-09,Text 94
"Text 10,1",1230,2023-08-10,"Text 10,2",4560,2023-09-10,"Text 10,3",1024,2023-10-10,Text 104
"Text 11,1",1353,2023-08-11,"Text 11,2",5016,2023-09-11,"Text 11,3",2048,2023-10-11,Text 114
"Text 12,1",1476,2023-08-12,"Text 12,2",5472,2023-09-12,"Text 12,3",4096,2023-10-12,Text 124
"Text 13,1",1599,2023-08-13,"Text 13,2",5928,2023-09-13,"Text 13,3",8192,2023-10-13,Text 134
"Text 14,1",1722,2023-08-14,"Text 14,2",6384,2023-09-14,"Text 14,3",16384,2023-10-14,Text 144
"Text 15,1",1845,2023-08-15,"Text 15,2",6840,2023-09-15,"Text 15,3",92768,2023-10-15,Text 154
"Text 16,1",1968,2023-08-16,"Text 16,2",7296,2023-09-16,"Text 16,3",65536,2023-10-16,Text 164
